"id";"title";"authors";"subjectsPOR";"institutions";"types";"accesslevel";"publicationDates";"urls";"formats";"languages"
"UFG_ea73bfca9fe38376aae3be46a2568b0d";"Aritmética com Python";"primary[Cavalcante, Rogério da Silva(NA)]";"Lógica|Programação|Aritmética|Python|Ensino de matemática|Logic|Programming|Arithmetic|Teaching mathematics|MATEMATICA::MATEMATICA APLICADA";"UFG";"masterThesis";"openAccess";"2018";"http://repositorio.bc.ufg.br/tede/handle/tede/9047";"masterThesis";"por"
"UERJ_43e004040d52178c814f82ad4d955707";"Retroanálise com o uso de rotina em Python aplicada a ensaios pressiométricos";"primary[Santiago, Carlos Alexandre de Almeida(http://lattes.cnpq.br/2819308597990501)]";"Engenharia civil|Engenharia geotécnica|Mecânica do solo|Modelos matemáticos|Python (Linguagem de programação de computador)|Ensaio PMT|Escavação";"UERJ";"masterThesis";"openAccess";"2019";"http://www.bdtd.uerj.br/handle/1/16382";"masterThesis";"por"
"UTFPR-12_b60bcf0310320d0e5598b03d5743a61f";"O ensino de matemática por meio da linguagem de programação Python";"primary[Pesente, Guilherme Moraes(http://lattes.cnpq.br/9113611965448095)]";"Matemática - Estudo e ensino|Python (Linguagem de programação de computador)|Conhecimento e aprendizagem|Mathematics - Study and teaching|Python (Computer program language)|Knowledge and learning";"UTFPR";"masterThesis";"openAccess";"2019";"http://repositorio.utfpr.edu.br/jspui/handle/1/5020";"masterThesis";"por"
"UNICAMP-30_98833fa1affb96f3147210dd3a509f55";"Desenvolvimento de uma plataforma multimidia utilizando a linguagem Python";"primary[Gonçalves Neto, Jahyr, 1980-(NA)]";"Programação em tempo-real|Internet|Processamento do som por computador|Videoconferência|Sistemas multimídia|Real-time programming|Internet (Computer network)|Computer sound processing|Videoconferencing|Multimedia systems|Audio streaming|Python|IPTV";"UNICAMP";"masterThesis";"openAccess";"2007";"https://hdl.handle.net/20.500.12733/1605909";"masterThesis";"por"
"UTFPR-1_6649cb129c518d83768831532924f477";"O ensino de matemática por meio da linguagem de programação Python";"primary[Pesente, Guilherme Moraes(http://lattes.cnpq.br/9113611965448095)]";"Matemática - Estudo e ensino|Python (Linguagem de programação de computador)|Conhecimento e aprendizagem|Mathematics - Study and teaching|Python (Computer program language)|Knowledge and learning";"UTFPR";"masterThesis";"openAccess";"2019";"http://repositorio.utfpr.edu.br/jspui/handle/1/5020";"masterThesis";"por"
"URGS_794af5359197df532f7aaf176e8a692b";"A Python library for group theory calculations in particle physics";"primary[Sarate, Rafael Eberhardt(NA)]";"Física teórica|Teoria dos grupos|Algorítmo";"UFRGS";"masterThesis";"openAccess";"2022";"http://hdl.handle.net/10183/238258";"masterThesis";"eng"
"USP_66ebecd322b98c31e8c0a97ddc358d11";"Automação de processos de projeto e programação em BIM: Dynamo, Python e C#";"primary[Paulo Cézar Peixoto de Sena(NA)]";"";"USP";"masterThesis";"openAccess";"2019";"https://doi.org/10.11606/D.102.2020.tde-12032020-144132";"masterThesis";"por"
"UFMT_5e139fbf0375749a03c97f3248a25aa3";"Estudo de órbitas planetárias utilizando simulações numéricas com Python";"primary[Almeida, Luzinês Novais de(NA)]";"Leis de Kepler|Gravitação universal|Cálculo numérico|Python|Órbitas planetárias|Aprendizagem significativa|CNPQ::CIENCIAS EXATAS E DA TERRA::FISICA|.";"UFMT";"masterThesis";"openAccess";"2016";"http://ri.ufmt.br/handle/1/3337";"masterThesis";"por"
"UFPB-2_f927e229142d61581faf953a21848e6c";"Monty Python e porta dos fundos: Os processos culturais e o residual no audiovisual contemporâneo";"primary[Ramos, Eutália Silva(http://lattes.cnpq.br/5406259548242129)]";"Audiovisual|Cultura residual|Monty Python|Porta dos Fundos|YouTube|Residual culture";"UFPB";"masterThesis";"openAccess";"2017";"https://repositorio.ufpb.br/jspui/handle/123456789/11248";"masterThesis";"por"
"UFPE_e0e94a6d936494656170f33dc4bd023d";"Integração python-salome para solução de problemas de dinâmica estrutural 2D e 3D com o MEF";"primary[REIS, Eliel Tavares dos(NA)]";"Engenharia Civil|Elementos finitos|Python|Salome|Dinâmica estrutural|Integração";"UFPE";"masterThesis";"openAccess";"2018";"https://repositorio.ufpe.br/handle/123456789/34423";"masterThesis";"por"
"UNICAMP-30_628d6383587f02bec91078895981900f";"Implementação de um compressor de imagens na linguagem Python usando a transformada Wavelet";"primary[Gonçalez Tenorio, Aurio(NA)]";"Compressão de imagens|Programação orientada a objetos (Computação)|Algoritmos|Wavelets (Matemática)";"UNICAMP";"masterThesis";"openAccess";"2003";"https://hdl.handle.net/20.500.12733/1594795";"masterThesis";"por"
"UNICAMP-30_7df9eaa75f3da197f6a1846564666720";"Ambiente de suporte ao ensino de processamento de imagens usando a linguagem Python";"primary[Silva, Alexandre Gonçalves(NA)]";"Processamento de imagens|Educação|Engenharia - Estudo e ensino|Software - Desenvolvimento|Software livre";"UNICAMP";"masterThesis";"openAccess";"2003";"https://hdl.handle.net/20.500.12733/1593529";"masterThesis";"por"
"FGV_3ba41619884448c2411a83bc5029beb4";"Visualização de coleções científicas digitais de biodiversidade: um framework em Altair, Python";"primary[Oliveira, Franklin Alves de(NA)]";"Coleções Digitais|Biodiversidade|Visualização";"FGV";"masterThesis";"openAccess";"2021";"https://hdl.handle.net/10438/30711";"masterThesis";"por"
"SCAR_c4740dc28c0e719bb0d2dcdb60eba0ca";"Efeitos da alimentação e digestão na contratilidade miocárdica de pítons (Python molurus)";"primary[Cipriano, Rafael Corrêa(NA)]";"Fisiologia|Função cardíaca|Acoplamento E-C|Coração - hipertrofia|SDA - Specific Dynamic Action";"UFSCAR";"masterThesis";"openAccess";"2013";"https://repositorio.ufscar.br/handle/ufscar/1356";"masterThesis";"por"
"UFSM_c5cf96cfe071e377bd649b9bb220b287";"O pensamento computacional na prática: uma experiência usando Python em aulas de Matemática Básica";"primary[Grave, Leomir Augusto Severo(http://lattes.cnpq.br/4882359952928110)]";"Ensino de matemática|Pensamento computacional|Resolução de problemas|Linguagem de programação|Python";"UFSM";"masterThesis";"openAccess";"2021";"http://repositorio.ufsm.br/handle/1/21866";"masterThesis";"por"
"UFPB_dd7b58081de981be0bd82398d0bc3f88";"Monty Python e porta dos fundos: Os processos culturais e o residual no audiovisual contemporâneo";"primary[Ramos, Eutália Silva(NA)]";"Audiovisual|Cultura residual|Monty Python|Porta dos Fundos|YouTube|Residual culture|CNPQ::CIENCIAS SOCIAIS APLICADAS::COMUNICACAO";"UFPB";"masterThesis";"openAccess";"2017";"https://repositorio.ufpb.br/jspui/handle/123456789/11248";"masterThesis";"por"
